symbol,circulating,share_%
USDT,184127476974.30457,59.23
USDC,73419133752.04091,23.62
USDS,7598086352.410108,2.44
DAI,4879945126.377856,1.57
USD1,4473572262.291789,1.44
USDe,3984268784.393208,1.28
BUIDL,3688717190.4404488,1.19
USYC,3070347597.6948466,0.99
USDG,2899677755.169617,0.93
PYUSD,2838172168.408438,0.91
USDY,2149772857.164613,0.69
RLUSD,1539359136.646454,0.5
