name,tvl,share_%
Ethereum,40508353516.699036,54.36
BSC,4954125309.653671,6.65
Solana,4934145161.290406,6.62
Tron,4795963939.515985,6.44
Base,4468830474.515243,6.0
Bitcoin,3560807663.365241,4.78
Provenance,1461718310.8483605,1.96
Hyperliquid L1,1397292295.4475195,1.87
Arbitrum,1248967364.7063,1.68
Polygon,948501274.2639736,1.27
Plasma,733939116.3965843,0.98
Monad,488832416.01499337,0.66
